,tribe,address,score,attempts
0,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:298,400,2
1,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:196,400,1
2,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:669,400,1
3,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:22,400,1
4,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:289,400,1
5,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:276,400,1
6,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:501,400,3
7,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:314,400,2
8,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:278,400,6
9,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:488,400,2
10,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:605,400,2
11,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:97,400,2
12,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:109,400,1
13,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:296,400,1
14,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:61,400,2
15,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:47,400,1
16,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:39,400,1
17,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:135,400,11
18,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:143,400,1
19,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:650,400,2
20,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:606,400,20
21,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:640,400,5
22,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:101,400,2
23,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:369,400,3
24,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:144,400,2
25,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:301,400,5
26,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:443,400,1
27,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:14,400,3
28,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:30,400,2
29,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:192,400,1
30,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:414,400,2
31,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:703,400,1
32,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:156,400,3
33,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:123,400,4
34,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:191,400,1
35,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:6,400,3
36,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:493,400,1
37,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:602,400,2
38,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:138,400,1
39,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:386,400,1
40,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:234,400,2
41,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:164,400,3
42,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:250,400,1
43,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:72,400,1
44,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:285,400,7
45,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:279,400,5
46,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:91,400,7
47,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:106,400,1
48,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:406,400,1
49,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:49,400,3
50,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:33,400,1
51,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:71,400,2
52,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:448,400,5
53,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:347,400,2
54,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:371,400,2
55,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:128,400,1
56,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:17,400,2
57,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:3,400,3
58,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:473,400,14
59,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:420,400,1
60,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:388,400,3
61,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:698,400,5
62,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:23,400,2
63,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:93,400,7
64,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:437,400,4
65,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:407,400,2
66,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:530,400,6
67,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:117,400,1
68,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:286,400,3
69,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:125,400,1
70,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:749,400,2
71,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:333,400,1
72,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:86,400,3
73,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:129,400,1
74,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:451,400,8
75,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:336,400,3
76,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:321,395,3
77,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:765,392,1
78,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:240,391,3
79,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:208,391,6
80,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:141,390,2
81,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:502,387,3
82,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:295,386,2
83,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:277,386,6
84,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:307,385,1
85,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:203,382,1
86,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:275,381,5
87,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:422,376,1
88,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:444,375,3
89,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:389,373,1
90,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:335,365,4
91,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:293,364,1
92,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:644,364,4
93,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:70,364,4
94,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:269,362,6
95,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:189,361,2
96,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:214,360,1
97,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:611,356,1
98,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:273,354,16
99,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:127,353,1
100,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:69,346,18
101,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:134,346,4
102,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:673,344,2
103,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:274,342,7
104,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:519,341,8
105,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:216,339,2
106,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:81,337,1
107,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:220,334,2
108,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:137,333,1
109,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:457,331,3
110,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:719,331,1
111,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:495,329,2
112,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:193,329,1
113,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:302,328,9
114,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:557,323,10
115,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:550,320,2
116,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:35,319,8
117,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:162,318,3
118,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:167,317,11
119,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:700,317,1
120,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:578,316,2
121,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:338,314,1
122,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:331,314,4
123,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:238,310,4
124,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:319,307,8
125,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:449,305,1
126,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:64,305,8
127,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:415,302,17
128,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:410,301,3
129,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:7,300,3
130,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:446,298,1
131,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:345,295,2
132,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:543,292,3
133,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:601,291,1
134,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:425,289,6
135,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:750,287,1
136,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:148,285,2
137,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:133,284,2
138,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:107,283,5
139,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:120,280,1
140,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:223,277,3
141,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:352,277,1
142,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:733,276,4
143,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:497,274,1
144,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:585,274,2
145,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:474,273,1
146,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:217,272,6
147,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:132,270,3
148,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:590,269,2
149,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:413,269,1
150,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:219,268,3
151,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:755,266,18
152,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:185,266,2
153,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:90,265,5
154,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:789,264,22
155,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:465,264,1
156,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:573,262,6
157,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:172,262,1
158,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:116,261,1
159,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:343,259,3
160,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:524,256,5
161,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:383,251,2
162,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:329,251,2
163,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:254,248,5
164,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:708,248,2
165,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:392,246,4
166,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:154,246,1
167,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:186,245,5
168,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:341,245,26
169,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:68,245,13
170,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:463,244,2
171,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:160,242,8
172,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:271,241,1
173,ice,0x4DfC7EA5aC59B63223930C134796fecC4258d093:194,239,3
174,earth,0x4DfC7EA5aC59B63223930C134796fecC4258d093:466,237,3
175,sky,0x4DfC7EA5aC59B63223930C134796fecC4258d093:467,237,6
176,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:139,236,2
177,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:170,236,10
178,sun,0x4DfC7EA5aC59B63223930C134796fecC4258d093:464,233,2
179,fire,0x4DfC7EA5aC59B63223930C134796fecC4258d093:736,229,70
